DATASET: test50
NODE_COUNT: 50
NODE: 
0	43.18910733	48.68496758
1	74.03560176	17.41722795
2	125.7439126	143.5916782
3	140.016796	5.344924045
4	18.25020376	120.3795128
5	77.95325814	27.03274968
6	29.30449854	56.84136166
7	11.26073045	32.37145736
8	30.9385556	58.42743871
9	8.755975858	16.04662356
10	131.1052359	12.60021853
11	134.4875199	98.72766559
12	43.20808881	50.85688846
13	136.9954985	17.82868691
14	23.60570096	40.79206412
15	124.603527	36.81747663
16	84.91428948	96.53574847
17	129.5572659	61.61933058
18	123.032034	25.53016795
19	55.43766008	142.4755682
20	93.80290391	18.39590335
21	85.62230688	5.636814291
22	27.76091392	144.2453693
23	10.25910481	34.56350472
24	24.87597187	4.65699853
25	110.7448036	70.55987018
26	39.54489908	105.3060982
27	138.5843442	101.9007672
28	57.50907925	58.62505869
29	96.47439966	144.6719615
30	61.90305644	120.7535193
31	120.8667781	139.257295
32	142.3590472	56.65623923
33	66.05658002	113.6901494
34	132.5369473	108.2634774
35	39.22559072	121.3254865
36	69.22794391	6.873900375
37	31.68178188	133.3757189
38	54.85587776	88.49858359
39	73.15156968	81.39174643
40	83.14156962	40.28216636
41	117.9253207	41.93434527
42	127.4919982	116.5495159
43	54.65097084	4.99302941
44	136.4635619	104.8809513
45	146.4918511	42.27021611
46	68.33451684	112.1124349
47	53.0752936	60.05557318
48	91.57856363	90.59027994
49	110.5025817	108.5734289
EDGE_COUNT: 51
EDGE: 
0	28
0	27
1	29
1	28
2	30
2	29
3	31
3	30
4	32
4	31
5	38
6	27
7	33
7	32
8	34
8	33
9	35
9	34
10	36
10	35
11	37
11	36
12	38
12	37
13	39
13	38
14	40
14	39
15	41
15	40
16	42
16	41
17	26
18	43
18	42
19	44
19	43
20	45
20	44
21	46
21	45
22	47
22	46
23	48
23	47
23	26
23	25
24	49
24	48
24	27
24	26
VEHICLE_COUNT: 100
VEHICLE_CAPACITY: 1735
VEHICLE_SHIPPING_COST: 0.53
VEHICLE_FIXED_COST: 100
VEHICLE_DISINFECTION_COST: 300
VEHICLE_VELOCITY: 80
DEMAND: 
1	519
2	602
3	917
4	562
5	59
6	761
7	373
8	956
9	610
10	692
11	249
12	895
13	795
14	591
15	320
16	556
17	576
18	135
19	724
20	543
21	225
22	53
23	633
24	84
25	332
26	200
27	92
28	347
29	945
30	570
31	517
32	723
33	345
34	428
35	237
36	732
37	354
38	325
39	599
40	961
41	178
42	147
43	725
44	788
45	178
46	992
47	835
48	380
49	134
RISK_MATRIX: 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1
1	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1
1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
